iter	RMSE
260	106.2863388
261	106.2852181
262	106.2702327
263	106.2610006
264	106.2560402
265	106.2297634
266	106.2257312
267	106.2166192
268	106.2137789
269	106.2070557
270	106.1648626
271	106.144804
272	106.1438637
273	106.1102104
274	106.0909749
275	106.0863754
276	106.0815804
277	106.072561
278	106.0592123
279	106.0471805
280	106.0460741
281	106.0427155
282	106.0402179
283	106.0385118
284	106.0363276
285	106.0233757
286	106.020735
287	106.0136706
288	106.0040363
289	105.913935
290	105.9100806
291	105.909561
292	105.9070365
293	105.8987152
294	105.8905695
295	105.8873406
296	105.8794225
297	105.8783172
298	105.8677787
299	105.8505333
300	105.8324037
301	105.8237024
302	105.8222219
303	105.8175191
304	105.8141402
305	105.7991895
306	105.7716067
307	105.7710633
308	105.7663394
309	105.7622661
310	105.7616783
311	105.76105
312	105.7570572
313	105.7540365
314	105.7324267
315	105.7317829
316	105.7311968
317	105.7062262
318	105.7055867
319	105.7050811
320	105.6988425
321	105.6906102
322	105.6740504
323	105.66631
324	105.6572133
325	105.6435788
326	105.6417086
327	105.6404313
328	105.638484
329	105.6263519
330	105.6150706
331	105.6077649
332	105.5821364
333	105.5685466
334	105.5601586
335	105.5432342
336	105.5255065
337	105.5250432
338	105.5169385
339	105.5064977
340	105.5052344
341	105.5046163
342	105.5035973
343	105.4965768
344	105.4960382
345	105.4955884
346	105.4901301
347	105.4830434
348	105.4672115
349	105.4502878
350	105.4427033
351	105.4364869
352	105.4119095
353	105.4107163
354	105.3942471
355	105.3933173
356	105.3860056
357	105.3646958
358	105.3579284
359	105.3343227
360	105.3075947
361	105.3045831
362	105.2801127
363	105.274027
364	105.2474184
365	105.2430244
366	105.2275831
367	105.2152761
368	105.2104831
369	105.2025177
370	105.2007271
371	105.1846198
372	105.1820064
373	105.1796892
374	105.1597638
375	105.1418714
376	105.1406531
377	105.1287129
378	105.1123406
379	105.1112301
380	105.1107319
381	105.1083421
382	105.1078426
383	105.074166
384	105.059543
385	105.0562638
386	105.0428012
387	105.0425053
388	105.0398397
389	105.0385467
390	105.031448
391	105.0311878
392	105.0289374
393	105.0252358
394	105.0189387
395	105.0057574
396	104.9996408
397	104.9929834
398	104.9820289
399	104.9727148
400	104.9714722
401	104.9602247
402	104.9595853
403	104.9529491
404	104.9320751
405	104.9153435
406	104.8994441
407	104.8915257
408	104.86921
409	104.8598694
410	104.8593417
411	104.851105
412	104.8383378
413	104.8270197
414	104.8256167
415	104.8002886
416	104.7978951
417	104.795795
418	104.7788732
419	104.7780061
420	104.7663645
421	104.7523546
422	104.7198008
423	104.7058398
424	104.6617276
425	104.6440962
426	104.6266626
427	104.5997845
428	104.5714941
429	104.5700503
430	104.5515026
431	104.527344
432	104.5103926
433	104.5000836
434	104.493762
435	104.4933179
436	104.4907361
437	104.4878307
438	104.4752586
439	104.4729462
440	104.4695439
441	104.4691458
442	104.4631911
443	104.4563174
444	104.446955
445	104.4460029
446	104.4450855
447	104.4235568
448	104.4108583
449	104.3935464
450	104.3872405
451	104.3804752
452	104.3692492
453	104.3445245
454	104.3385394
455	104.3368061
456	104.3322571
457	104.3185958
458	104.3078297
459	104.2984709
460	104.2862968
461	104.270149
462	104.25687
463	104.2529737
464	104.2320687
465	104.183989
466	104.1777453
467	104.1546974
468	104.1530374
469	104.1443754
470	104.142296
471	104.1381009
472	104.135491
473	104.1321385
474	104.1238317
475	104.1084753
476	104.0935485
477	104.0861409
478	104.0853111
479	104.0618651
480	104.05945
481	104.051246
482	104.042897
483	104.0364907
484	104.0250219
485	104.0165045
486	104.0157922
487	104.0100598
488	104.0056475
489	103.9889057
490	103.9878603
491	103.9776644
492	103.9712713
493	103.9576254
494	103.9321505
495	103.9126693
496	103.8973369
497	103.8777993
498	103.871602
499	103.8641809
